Número de averías: 21
Distancia solucion: 412.0
Recorrido: 
635 9.722285471811908 C1A14
2461 9.945939825184094 C4A15
16 8.933170864464856 A19C1
586 8.047849042734004 A20C16
436 9.15209817102818 C16A11
726 9.250308430186077 A11C10
486 8.740783188539915 C6A8
293 6.3705151355719645 C13A18
2276 4.3477956512896805 C12A19
2377 5.189920325215497 C15A20
352 4.23461162462759 A10C20
636 6.393650605282509 C18A9
290 3.549896245017843 A1C16
2466 6.023017605801761 A4C10
980 0.388791001086198 C11A10
888 1.6530047592172528 C16A11
2630 2.524191765498102 C17A13
617 1.1229008412230328 C10A17
341 0.9513533287774094 C2A14
2162 1.8344012361343405 C5A3
1885 0.5259436155369593 A1C1
